Country Name,Year,CO2_per_capita
World,1960,3.12116
World,1961,3.06809
World,1962,3.11484
World,1963,3.2212
World,1964,3.32405
World,1965,3.43239
World,1966,3.53419
World,1967,3.586
World,1968,3.70454
World,1969,3.87517
World,1970,4.14785
World,1971,4.23179
World,1972,4.3473
World,1973,4.49325
World,1974,4.40358
World,1975,4.34263
World,1976,4.49309
World,1977,4.55898
World,1978,4.65302
World,1979,4.69609
World,1980,4.60108
World,1981,4.40664
World,1982,4.31496
World,1983,4.28614
World,1984,4.33908
World,1985,4.42831
World,1986,4.41225
World,1987,4.46192
World,1988,4.5654
World,1989,4.56647
World,1990,3.90296
World,1991,3.87459
World,1992,3.80401
World,1993,3.76933
World,1994,3.73238
World,1995,3.78198
World,1996,3.80669
World,1997,3.81352
World,1998,3.78061
World,1999,3.74777
World,2000,3.81265
World,2001,3.82766
World,2002,3.83475
World,2003,3.9585
World,2004,4.09225
World,2005,4.1963
World,2006,4.28101
World,2007,4.39187
World,2008,4.37692
World,2009,4.27713
World,2010,4.48315
World,2011,4.57012
World,2012,4.57877
World,2013,4.61023
World,2014,4.56077
World,2015,4.48877
World,2016,4.43676
World,2017,4.44131
World,2018,4.48352
